(?a qb:dataSet <jaurDistrictsTotal>) ^ (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 901.0 ; 2214.5 )) ^ (?a czso:refPeriod <http://reference.data.gov.uk/id/gregorian-day/2008-12-31>) -> (?a czso:podilNezamestnanych [ 1.2 ; 3.6550000000000002 )) | support: 10, headCoverage: 0.004161464835622139, confidence: 0.6666666666666666, headSize: 2403, bodySize: 15
(?a qb:dataSet <jaurRegionsBySex>) ^ (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 26473.0 ; 31649.0 )) ^ (?a czso:refArea <http://ruian.linked.opendata.cz/resource/vusc/60>) -> (?a czso:podilNezamestnanych [ 9.43 ; 11.5 ]) | support: 10, headCoverage: 0.004161464835622139, confidence: 1.0, headSize: 2403, bodySize: 10
(?a qb:dataSet <jaurDistrictsBySex>) ^ (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 4019.0 ; 4855.0 )) ^ (?a czso:refArea <http://ruian.linked.opendata.cz/resource/okresy/3509>) -> (?a czso:podilNezamestnanych [ 8.76 ; 10.045 )) | support: 9, headCoverage: 0.003745318352059925, confidence: 0.8181818181818182, headSize: 2403, bodySize: 11
(?a qb:dataSet <jaurDistrictsBySex>) ^ (?a czso:podilNezamestnanych [ 8.76 ; 10.045 )) ^ (?a czso:refArea <http://ruian.linked.opendata.cz/resource/okresy/3409>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 2923.0 ; 3395.5 )) | support: 9, headCoverage: 0.003745318352059925, confidence: 1.0, headSize: 2403, bodySize: 9
(?a qb:dataSet <jaurDistrictsBySex>) ^ (?a czso:podilNezamestnanych [ 1.13 ; 3.545 )) ^ (?a czso:refPeriod <http://reference.data.gov.uk/id/gregorian-day/2005-12-31>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 468.0 ; 1136.5 )) | support: 9, headCoverage: 0.003745318352059925, confidence: 0.8181818181818182, headSize: 2403, bodySize: 11
(?a qb:dataSet <jaurDistrictsBySex>) ^ (?a czso:podilNezamestnanych [ 10.045 ; 16.49 ]) ^ (?a czso:refArea <http://ruian.linked.opendata.cz/resource/okresy/3801>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 4019.0 ; 4855.0 )) | support: 9, headCoverage: 0.003745318352059925, confidence: 0.6923076923076923, headSize: 2403, bodySize: 13
(?a qb:dataSet <jaurDistrictsBySex>) ^ (?a czso:podilNezamestnanych [ 8.76 ; 10.045 )) ^ (?a czso:refArea <http://ruian.linked.opendata.cz/resource/okresy/3509>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 4019.0 ; 4855.0 )) | support: 9, headCoverage: 0.003745318352059925, confidence: 0.9, headSize: 2403, bodySize: 10
(?a qb:dataSet <jaurDistrictsBySex>) ^ (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 4019.0 ; 4855.0 )) ^ (?a czso:refArea <http://ruian.linked.opendata.cz/resource/okresy/3801>) -> (?a czso:podilNezamestnanych [ 10.045 ; 16.49 ]) | support: 9, headCoverage: 0.003745318352059925, confidence: 1.0, headSize: 2403, bodySize: 9
(?a qb:dataSet <jaurDistrictsBySex>) ^ (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 4855.0 ; 13697.0 ]) ^ (?a czso:refArea <http://ruian.linked.opendata.cz/resource/okresy/3508>) -> (?a czso:podilNezamestnanych [ 10.045 ; 16.49 ]) | support: 9, headCoverage: 0.003745318352059925, confidence: 1.0, headSize: 2403, bodySize: 9
(?a qb:dataSet <jaurDistrictsBySex>) ^ (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 2923.0 ; 3395.5 )) ^ (?a czso:refArea <http://ruian.linked.opendata.cz/resource/okresy/3409>) -> (?a czso:podilNezamestnanych [ 8.76 ; 10.045 )) | support: 9, headCoverage: 0.003745318352059925, confidence: 0.8181818181818182, headSize: 2403, bodySize: 11
